,Menu,Day,Promotion,Month,Total_Qty,Sales_Status,Year,Date
198,Iced Latte,Monday,Yes,1,17,Less Popular,2024,2024-01-08
199,Red Velvet Latte,Monday,No,1,21,Best Seller,2024,2024-01-08
200,Sandwich,Monday,No,1,12,Less Popular,2024,2024-01-08
201,Lychee Tea,Monday,No,1,12,Less Popular,2024,2024-01-08
202,Lychee Tea,Monday,Yes,1,18,Less Popular,2024,2024-01-08
203,Chicken Wings,Monday,Yes,1,17,Best Seller,2024,2024-01-08
204,Tea Latte,Monday,No,1,12,Best Seller,2024,2024-01-08
205,Lychee Tea,Monday,No,1,13,Less Popular,2024,2024-01-08
206,Cookies,Monday,Yes,1,21,Best Seller,2024,2024-01-08
207,Macchiato,Monday,No,1,26,Best Seller,2024,2024-01-08
208,Affogato,Monday,No,1,9,Best Seller,2024,2024-01-08
209,Chocolate,Monday,Yes,1,27,Best Seller,2024,2024-01-08
210,Iced Americano,Monday,No,1,23,Less Popular,2024,2024-01-08
211,Spaghetti,Tuesday,Yes,1,12,Less Popular,2024,2024-01-09
212,Croissant,Tuesday,No,1,18,Less Popular,2024,2024-01-09
213,Iced Americano,Tuesday,Yes,1,35,Best Seller,2024,2024-01-09
214,Red Velvet Latte,Tuesday,No,1,19,Best Seller,2024,2024-01-09
215,Red Velvet Cake,Tuesday,Yes,1,11,Less Popular,2024,2024-01-09
216,Latte,Tuesday,No,1,26,Best Seller,2024,2024-01-09
217,Tea Latte,Tuesday,No,1,11,Best Seller,2024,2024-01-09
218,Mocha,Tuesday,No,1,22,Best Seller,2024,2024-01-09
219,Toast,Tuesday,Yes,1,16,Best Seller,2024,2024-01-09
220,Lemon Tea,Tuesday,No,1,10,Less Popular,2024,2024-01-09
221,Latte,Tuesday,No,1,32,Best Seller,2024,2024-01-09
222,Donut,Tuesday,Yes,1,26,Best Seller,2024,2024-01-09
223,Lychee Tea,Tuesday,Yes,1,17,Less Popular,2024,2024-01-09
224,Toast,Tuesday,No,1,14,Less Popular,2024,2024-01-09
225,Toast,Tuesday,No,1,13,Less Popular,2024,2024-01-09
226,Toast,Tuesday,Yes,1,19,Best Seller,2024,2024-01-09
227,Matcha Latte,Tuesday,No,1,21,Best Seller,2024,2024-01-09
228,Mocha,Tuesday,No,1,23,Best Seller,2024,2024-01-09
229,Donut,Tuesday,No,1,20,Less Popular,2024,2024-01-09
230,Macchiato,Tuesday,No,1,25,Best Seller,2024,2024-01-09
231,Muffin,Tuesday,No,1,13,Less Popular,2024,2024-01-09
232,Croissant,Tuesday,Yes,1,18,Best Seller,2024,2024-01-09
233,Chicken Wings,Tuesday,Yes,1,20,Best Seller,2024,2024-01-09
234,French Fries,Tuesday,No,1,21,Less Popular,2024,2024-01-09
235,Donut,Tuesday,No,1,19,Less Popular,2024,2024-01-09
236,Taro Latte,Tuesday,No,1,15,Best Seller,2024,2024-01-09
237,Cheesecake,Tuesday,Yes,1,12,Best Seller,2024,2024-01-09
238,Lychee Tea,Tuesday,No,1,12,Less Popular,2024,2024-01-09
239,Iced Americano,Tuesday,No,1,21,Less Popular,2024,2024-01-09
240,Chicken Wings,Tuesday,No,1,13,Less Popular,2024,2024-01-09
241,Green Tea,Tuesday,No,1,7,Less Popular,2024,2024-01-09
242,Chocolate,Wednesday,No,1,22,Best Seller,2024,2024-01-10
243,Flat White,Wednesday,No,1,18,Best Seller,2024,2024-01-10
244,Mocha,Wednesday,No,1,21,Best Seller,2024,2024-01-10
245,Es Kopi Susu Gula Aren,Wednesday,No,1,15,Less Popular,2024,2024-01-10
246,Peach Tea,Wednesday,No,1,9,Less Popular,2024,2024-01-10
247,Iced Americano,Wednesday,No,1,19,Less Popular,2024,2024-01-10
248,Donut,Wednesday,No,1,15,Less Popular,2024,2024-01-10
249,Matcha Latte,Wednesday,Yes,1,25,Best Seller,2024,2024-01-10
250,Cold Brew,Wednesday,Yes,1,15,Best Seller,2024,2024-01-10
251,Spaghetti,Wednesday,No,1,12,Less Popular,2024,2024-01-10
252,Iced Americano,Wednesday,No,1,22,Less Popular,2024,2024-01-10
253,Es Kopi Susu Gula Aren,Wednesday,No,1,18,Less Popular,2024,2024-01-10
254,Burger,Wednesday,No,1,12,Less Popular,2024,2024-01-10
255,Es Kopi Susu Gula Aren,Wednesday,Yes,1,23,Less Popular,2024,2024-01-10
256,Espresso,Wednesday,Yes,1,21,Best Seller,2024,2024-01-10
257,Affogato,Wednesday,Yes,1,11,Best Seller,2024,2024-01-10
258,Taro Latte,Wednesday,No,1,18,Best Seller,2024,2024-01-10
259,Lemon Tea,Wednesday,Yes,1,15,Less Popular,2024,2024-01-10
260,Es Kopi Susu Gula Aren,Wednesday,Yes,1,28,Less Popular,2024,2024-01-10
261,Vietnamese Coffee,Wednesday,No,1,8,Less Popular,2024,2024-01-10
262,Pain au Chocolat,Wednesday,No,1,16,Less Popular,2024,2024-01-10
263,Spaghetti,Wednesday,Yes,1,13,Less Popular,2024,2024-01-10
264,Donut,Wednesday,No,1,19,Less Popular,2024,2024-01-10
265,Cookies,Wednesday,No,1,15,Less Popular,2024,2024-01-10
266,Lychee Tea,Wednesday,No,1,13,Less Popular,2024,2024-01-10
267,Affogato,Wednesday,Yes,1,8,Best Seller,2024,2024-01-10
268,Sandwich,Wednesday,No,1,12,Less Popular,2024,2024-01-10
269,Pain au Chocolat,Wednesday,Yes,1,18,Best Seller,2024,2024-01-10
270,Matcha Latte,Thursday,No,1,17,Best Seller,2024,2024-01-11
271,Donut,Thursday,No,1,16,Less Popular,2024,2024-01-11
272,Chicken Wings,Thursday,No,1,16,Less Popular,2024,2024-01-11
273,Red Velvet Cake,Thursday,Yes,1,12,Less Popular,2024,2024-01-11
274,Mocha,Thursday,No,1,21,Best Seller,2024,2024-01-11
275,Espresso,Thursday,No,1,13,Best Seller,2024,2024-01-11
276,Latte,Thursday,No,1,30,Best Seller,2024,2024-01-11
277,Pain au Chocolat,Thursday,No,1,15,Less Popular,2024,2024-01-11
278,Vietnamese Coffee,Thursday,No,1,8,Less Popular,2024,2024-01-11
279,Cinnamon Roll,Thursday,No,1,13,Less Popular,2024,2024-01-11
280,Brownies,Thursday,Yes,1,16,Best Seller,2024,2024-01-11
281,Chocolate,Thursday,No,1,24,Best Seller,2024,2024-01-11
282,Green Tea,Thursday,No,1,8,Less Popular,2024,2024-01-11
283,Spaghetti,Thursday,No,1,12,Less Popular,2024,2024-01-11
284,Espresso,Thursday,No,1,11,Best Seller,2024,2024-01-11
285,Lemon Tea,Thursday,Yes,1,15,Less Popular,2024,2024-01-11
286,Chicken Wings,Thursday,No,1,16,Less Popular,2024,2024-01-11
287,Cinnamon Roll,Thursday,No,1,18,Less Popular,2024,2024-01-11
288,Sandwich,Thursday,Yes,1,14,Best Seller,2024,2024-01-11
289,Tiramisu,Thursday,Yes,1,11,Less Popular,2024,2024-01-11
290,Americano,Thursday,No,1,27,Best Seller,2024,2024-01-11
291,Red Velvet Cake,Thursday,Yes,1,8,Less Popular,2024,2024-01-11
292,Iced Americano,Thursday,No,1,22,Less Popular,2024,2024-01-11
293,Lemon Tea,Thursday,Yes,1,15,Less Popular,2024,2024-01-11
294,Croissant,Thursday,No,1,15,Less Popular,2024,2024-01-11
295,Cinnamon Roll,Friday,No,1,19,Less Popular,2024,2024-01-12
296,Es Kopi Susu Gula Aren,Friday,No,1,19,Less Popular,2024,2024-01-12
297,Donut,Friday,No,1,22,Less Popular,2024,2024-01-12
298,Mineral Water,Friday,No,1,10,Less Popular,2024,2024-01-12
299,Croissant,Friday,No,1,20,Less Popular,2024,2024-01-12
300,Cinnamon Roll,Friday,No,1,16,Less Popular,2024,2024-01-12
301,Affogato,Friday,Yes,1,13,Best Seller,2024,2024-01-12
302,Cheesecake,Friday,Yes,1,12,Best Seller,2024,2024-01-12
303,Lychee Tea,Friday,Yes,1,18,Less Popular,2024,2024-01-12
304,Red Velvet Latte,Friday,No,1,18,Best Seller,2024,2024-01-12
305,Spaghetti,Friday,No,1,12,Best Seller,2024,2024-01-12
306,Vietnamese Coffee,Friday,Yes,1,9,Less Popular,2024,2024-01-12
307,Brownies,Friday,No,1,13,Best Seller,2024,2024-01-12
308,Cheesecake,Friday,No,1,12,Best Seller,2024,2024-01-12
309,Macchiato,Friday,No,1,20,Best Seller,2024,2024-01-12
310,Green Tea,Friday,No,1,10,Less Popular,2024,2024-01-12
311,Espresso,Friday,Yes,1,15,Best Seller,2024,2024-01-12
312,Latte,Friday,No,1,31,Best Seller,2024,2024-01-12
313,Latte,Friday,No,1,31,Best Seller,2024,2024-01-12
314,Vietnamese Coffee,Friday,No,1,8,Less Popular,2024,2024-01-12
315,Latte,Friday,No,1,30,Best Seller,2024,2024-01-12
316,Red Velvet Latte,Friday,No,1,19,Best Seller,2024,2024-01-12
317,Croissant,Friday,No,1,21,Less Popular,2024,2024-01-12
318,Americano,Friday,No,1,23,Best Seller,2024,2024-01-12
319,Es Kopi Susu Gula Aren,Friday,No,1,19,Less Popular,2024,2024-01-12
320,Vietnamese Coffee,Friday,No,1,8,Less Popular,2024,2024-01-12
321,Latte,Friday,Yes,1,26,Best Seller,2024,2024-01-12
322,Cappuccino,Friday,Yes,1,32,Best Seller,2024,2024-01-12
323,Affogato,Friday,No,1,11,Best Seller,2024,2024-01-12
324,Flat White,Friday,Yes,1,20,Best Seller,2024,2024-01-12
325,Donut,Saturday,Yes,1,32,Best Seller,2024,2024-01-13
326,Lychee Tea,Saturday,No,1,17,Less Popular,2024,2024-01-13
327,Espresso,Saturday,No,1,7,Less Popular,2024,2024-01-13
328,Red Velvet Cake,Saturday,Yes,1,21,Best Seller,2024,2024-01-13
329,Taro Latte,Saturday,No,1,28,Best Seller,2024,2024-01-13
330,Cappuccino,Saturday,Yes,1,23,Best Seller,2024,2024-01-13
331,Mineral Water,Saturday,No,1,13,Less Popular,2024,2024-01-13
332,Lemon Tea,Saturday,Yes,1,21,Less Popular,2024,2024-01-13
333,Cinnamon Roll,Saturday,No,1,20,Best Seller,2024,2024-01-13
334,Cheesecake,Saturday,Yes,1,21,Best Seller,2024,2024-01-13
335,Cappuccino,Saturday,Yes,1,31,Best Seller,2024,2024-01-13
336,Spaghetti,Saturday,No,1,20,Best Seller,2024,2024-01-13
337,Vietnamese Coffee,Saturday,Yes,1,10,Less Popular,2024,2024-01-13
338,Green Tea,Saturday,No,1,14,Less Popular,2024,2024-01-13
339,Americano,Saturday,No,1,17,Less Popular,2024,2024-01-13
340,Mineral Water,Saturday,No,1,12,Less Popular,2024,2024-01-13
341,Peach Tea,Saturday,No,1,14,Less Popular,2024,2024-01-13
342,Tiramisu,Saturday,No,1,20,Best Seller,2024,2024-01-13
343,Cappuccino,Saturday,Yes,1,35,Best Seller,2024,2024-01-13
344,Chocolate,Saturday,No,1,24,Best Seller,2024,2024-01-13
345,Cheesecake,Saturday,No,1,18,Best Seller,2024,2024-01-13
346,Espresso,Saturday,No,1,8,Less Popular,2024,2024-01-13
347,Latte,Saturday,Yes,1,30,Best Seller,2024,2024-01-13
348,Iced Latte,Saturday,No,1,18,Less Popular,2024,2024-01-13
349,Donut,Saturday,No,1,28,Best Seller,2024,2024-01-13
350,Red Velvet Cake,Saturday,No,1,18,Best Seller,2024,2024-01-13
351,Mocha,Saturday,No,1,24,Best Seller,2024,2024-01-13
352,Mineral Water,Saturday,No,1,11,Less Popular,2024,2024-01-13
353,Green Tea,Saturday,Yes,1,14,Less Popular,2024,2024-01-13
354,Iced Latte,Saturday,No,1,21,Less Popular,2024,2024-01-13
355,Iced Latte,Saturday,No,1,13,Less Popular,2024,2024-01-13
356,Affogato,Saturday,No,1,17,Best Seller,2024,2024-01-13
357,Lychee Tea,Saturday,No,1,18,Less Popular,2024,2024-01-13
358,Americano,Saturday,Yes,1,17,Less Popular,2024,2024-01-13
359,Lemon Tea,Saturday,Yes,1,19,Less Popular,2024,2024-01-13
360,Croissant,Saturday,No,1,30,Best Seller,2024,2024-01-13
361,Chocolate,Sunday,No,1,34,Best Seller,2024,2024-01-14
362,Peach Tea,Sunday,No,1,15,Less Popular,2024,2024-01-14
363,Muffin,Sunday,Yes,1,19,Best Seller,2024,2024-01-14
364,Matcha Latte,Sunday,Yes,1,37,Best Seller,2024,2024-01-14
365,Cappuccino,Sunday,No,1,28,Best Seller,2024,2024-01-14
366,Chicken Wings,Sunday,Yes,1,21,Best Seller,2024,2024-01-14
367,Croissant,Sunday,No,1,26,Best Seller,2024,2024-01-14
368,Tea Latte,Sunday,No,1,20,Best Seller,2024,2024-01-14
369,Peach Tea,Sunday,No,1,17,Less Popular,2024,2024-01-14
370,Vietnamese Coffee,Sunday,No,1,9,Less Popular,2024,2024-01-14
371,Brownies,Sunday,No,1,23,Best Seller,2024,2024-01-14
372,Lemon Tea,Sunday,No,1,20,Less Popular,2024,2024-01-14
373,Mocha,Sunday,No,1,22,Best Seller,2024,2024-01-14
374,Iced Latte,Sunday,Yes,1,17,Less Popular,2024,2024-01-14
375,Chocolate,Sunday,No,1,40,Best Seller,2024,2024-01-14
376,Croissant,Sunday,No,1,25,Best Seller,2024,2024-01-14
377,Latte,Sunday,Yes,1,39,Best Seller,2024,2024-01-14
378,Chicken Wings,Sunday,No,1,24,Best Seller,2024,2024-01-14
379,Sandwich,Sunday,No,1,20,Best Seller,2024,2024-01-14
